POSTE;DATE;RR;QRR;DRR;QDRR;TN;QTN;HTN;QHTN;TX;QTX;HTX;QHTX;TM;QTM;TMNX;QTMNX;TNSOL;QTNSOL;TN50;QTN50;DG;QDG;TAMPLI;QTAMPLI;TNTXM;QTNTXM;PMERM;QPMERM;PMERMIN;QPMERMIN;FFM;QFFM;FXI;QFXI;DXI;QDXI;HXI;QHXI;FXY;QFXY;DXY;QDXY;HXY;QHXY;FF2M;QFF2M;FXI2;QFXI2;DXI2;QDXI2;HXI2;QHXI2;FXI3S;QFXI3S;DXI3S;QDXI3S;HXI3S;QHXI3S;UN;QUN;HUN;QHUN;UX;QUX;HUX;QHUX;DHUMI40;QDHUMI40;DHUMI80;QDHUMI80;TSVM;QTSVM;DHUMEC;QDHUMEC;UM;QUM;INST;QINST;GLOT;QGLOT;DIFT;QDIFT;DIRT;QDIRT;SIGMA;QSIGMA;INFRART;QINFRART;UV_INDICEX;QUV_INDICEX;NB300;QNB300;BA300;QBA300;NEIG;QNEIG;BROU;QBROU;ORAG;QORAG;GRESIL;QGRESIL;GRELE;QGRELE;ROSEE;QROSEE;VERGLAS;QVERGLAS;SOLNEIGE;QSOLNEIGE;GELEE;QGELEE;FUMEE;QFUMEE;BRUME;QBRUME;ECLAIR;QECLAIR;ETPMON;QETPMON;ETPGRILLE;QETPGRILLE;UV;QUV;TMERMAX;QTMERMAX;TMERMIN;QTMERMIN;HNEIGEF;QHNEIGEF;NEIGETOTX;QNEIGETOTX;NEIGETOT06;QNEIGETOT06
33042005;20260420;0,0;1;;;7,0;1;432;9;28,1;1;1500;9;17,8;1;17,55;1;3,3;9;;;0;9;21,1;1;17,6;1;;;;;1,9;1;10,8;1;330;1;1500;9;6,3;1;320;1;1521;9;;;;;;;;;;;;;;;35;1;1443;9;98;1;452;9;308;9;374;9;11,6;9;;;62;1;656;9;2296;9;;;;;81;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4,4;9;3,7;9;;;;;;;;;;;;
33042005;20260421;2,4;1;;;9,2;1;516;9;28,7;1;1354;9;19,5;1;18,95;1;5,2;9;;;0;9;19,5;1;19,0;1;;;;;3,4;1;16,3;1;220;9;2223;9;7,6;1;220;9;2226;9;;;;;;;;;15,1;1;220;9;2223;9;36;1;1204;9;93;1;2331;9;341;9;221;9;12,5;9;;;57;1;633;9;2225;9;;;;;78;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5,1;9;4,0;9;;;;;;;;;;;;
33042005;20260422;0,4;1;;;13,0;1;524;9;24,6;1;1019;9;17,1;1;18,80;1;12,1;9;;;0;9;11,6;1;18,8;1;;;;;3,9;1;12,4;1;260;1;1048;9;7,5;1;250;1;1243;9;;;;;;;;;11,8;1;260;1;1048;9;46;1;1023;9;96;1;38;9;0;9;828;9;14,3;9;;;81;1;514;9;2083;9;;;;;63;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4,3;9;3,5;9;;;;;;;;;;;;
33042005;20260423;0,0;1;;;12,6;1;534;9;27,6;1;1511;9;19,6;1;20,10;1;11,8;9;;;0;9;15,0;1;20,1;1;;;;;4,6;1;12,7;1;120;1;1513;9;8,6;1;120;1;1520;9;;;;;;;;;12,1;1;120;1;1513;9;37;1;1500;9;95;1;547;9;213;9;450;9;13,8;9;;;62;1;704;9;2410;9;;;;;86;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5,6;9;4,2;9;;;;;;;;;;;;
33042005;20260424;0,0;1;;;8,6;1;517;9;26,8;1;1351;9;17,8;1;17,70;1;3,3;9;;;0;9;18,2;1;17,7;1;;;;;3,3;1;9,5;1;260;1;1118;9;6,0;1;240;1;1747;9;;;;;;;;;8,7;1;280;1;1421;9;32;1;1325;9;94;1;2327;9;301;9;358;9;10,9;9;;;61;1;749;9;2455;9;;;;;91;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5,2;9;4,0;9;;;;;;;;;;;;
33042005;20260425;0,0;1;;;14,9;1;49;9;17,4;1;1304;9;15,6;1;16,15;1;14,8;9;;;0;9;2,5;1;16,2;1;;;;;2,8;1;7,4;1;230;1;1032;9;5,2;1;240;1;1035;9;;;;;;;;;7,3;1;230;1;1032;9;74;1;1308;9;93;1;36;9;0;9;1208;9;15,2;9;;;86;1;0;9;474;9;;;;;0;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1,5;9;1,4;9;;;;;;;;;;;;
33042005;20260426;0,0;1;;;13,8;1;340;9;22,8;1;1602;9;16,2;1;18,30;1;13,3;9;;;0;9;9,0;1;18,3;1;;;;;1,8;1;7,4;1;300;1;1711;9;5,6;1;290;1;1719;9;;;;;;;;;7,0;1;300;1;1711;9;56;1;1507;9;99;1;2320;9;0;9;781;9;15,6;9;;;80;1;212;9;1437;9;;;;;26;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;2,8;9;2,6;9;;;;;;;;;;;;
33042005;20260427;0,2;1;;;8,2;1;454;9;25,5;1;1234;9;16,8;1;16,85;1;4,3;9;;;0;9;17,3;1;16,9;1;;;;;2,7;1;10,4;1;300;1;1422;9;6,8;1;300;1;1429;9;;;;;;;;;9,6;1;300;1;1422;9;38;1;1123;9;100;1;52;9;15;9;789;9;11,6;9;;;79;1;627;9;2498;9;;;;;76;9;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;4,6;9;3,7;9;;;;;;;;;;;;
33281001;20260420;0,0;1;0;9;10,8;1;505;9;25,5;1;1439;9;18,1;1;18,15;1;8,9;9;10,1;9;0;9;14,7;1;18,2;1;1013,1;1;1011,0;1;3,4;1;9,9;1;30;1;1549;9;5,8;1;30;1;1603;9;;;;;;;;;9,2;1;30;1;1549;9;29;1;1603;9;71;1;424;9;445;9;0;9;9,3;9;;;51;1;748;9;2478;9;;;3115;9;92;9;;;5;9;;;;;0;9;0;9;0;9;;;;;;;0;9;;;0;9;0;9;0;9;;;5,3;9;4,4;9;2,292;9;;;;;;;0;9;0;9
33281001;20260421;0,0;1;83;9;11,4;1;508;9;26,1;1;1516;9;18,9;1;18,75;1;10,8;9;11,1;9;0;9;14,7;1;18,8;1;1010,2;1;1007,5;1;4,9;1;12,0;1;220;9;2306;9;7,6;1;50;1;1539;9;;;;;;;;;11,2;1;220;9;2310;9;29;1;1716;9;67;1;454;9;420;9;0;9;9,4;9;;;48;1;646;9;2329;9;;;2126;9;79;9;;;5;9;;;;;0;9;0;9;0;9;;;;;;;0;9;;;0;9;0;9;0;9;;;6,0;9;4,9;9;2,179;9;;;;;;;0;9;0;9
